FUNC __main__.inner_function 26.3867 1409659184.9564 30.2266 1409659185.0077
FUNC __main__.inner_function 32.2656 1409659185.0271 35.8711 1409659185.0863
FUNC __main__.inner_function 36.0820 1409659185.0975 36.0820 1409659185.1478
FUNC __main__.inner_function 36.0820 1409659185.1590 36.0820 1409659185.2102
FUNC __main__.inner_function 36.0820 1409659185.2221 36.0820 1409659185.2727
FUNC __main__.inner_function 36.0820 1409659185.2861 36.0820 1409659185.3415
FUNC __main__.inner_function 36.0820 1409659185.3584 36.0820 1409659185.4093
FUNC __main__.inner_function 36.0820 1409659185.4280 36.0820 1409659185.4841
FUNC __main__.inner_function 36.0820 1409659185.4962 36.0820 1409659185.5478
FUNC __main__.inner_function 36.0820 1409659185.5618 36.0820 1409659185.6150
CMDLINE python some_script2.py
MEM 0.535156 1409659184.7126
MEM 11.718750 1409659184.8130
MEM 21.488281 1409659184.9134
MEM 34.796875 1409659185.0139
MEM 36.082031 1409659185.1143
MEM 38.113281 1409659185.2160
MEM 36.082031 1409659185.3164
MEM 37.097656 1409659185.4169
MEM 36.082031 1409659185.5172
MEM 38.113281 1409659185.6177
